xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 决议;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
Eattack_chc_ai_title;东征！;;;;;;;;;;;;;x
Eattack_chc_ai_desc;根据「瓦窑堡会议」的决议，我们已经建立了红28军、红29军，并组成了中共西北中央局，我们将要东征晋绥。;;;;;;;;;;;;;x
Eattack_chc_title;东征！;;;;;;;;;;;;;x
Eattack_chc_desc;根据「瓦窑堡会议」的决议，我们已经建立了红28军、红29军，并组成了中共西北中央局，我们将要东征晋绥。;;;;;;;;;;;;;x
Eask_csx_title;向蒋介石求援;;;;;;;;;;;;;x
Eask_csx_desc;共匪来势汹汹，业已迫近省府太原，我应一面调集主力部队，一面电请中央军入晋。;;;;;;;;;;;;;x
Eretreat_chc_title;撤退;;;;;;;;;;;;;x
Eretreat_chc_desc;我东征部队虽已挺进晋西，虎视太原。然而阎锡山的主力部队已经反应过来，蒋介石亦调集重兵入晋，而近日的战斗中，我红军伤亡渐增。不如见好就收，撤回陕甘苏区。;;;;;;;;;;;;;x
FrontArmy_chc_title;接应二、四方面军;;;;;;;;;;;;;x
FrontArmy_chc_desc;在百丈战役失败、二四方面军会师之后，张国焘终于取消了第二中央，与贺龙北上。会宁素有“陇秦锁钥”之称，是陇东军事重镇和交通枢纽，兵家必争之地。中央决定三军在会宁会师，我们应南下作战前往接应。;;;;;;;;;;;;;x
independent_MEA_title;建立蒙古军政府;;;;;;;;;;;;;x
independent_MEA_desc;根据我们的计划，我们将在察北建立一个蒙古自治政权，并支持他们进入绥远。;;;;;;;;;;;;;x
Sattack_MEA_title;进攻绥远;;;;;;;;;;;;;x
Sattack_MEA_desc;根据我们与大日本帝国关东军的协定，我们将进攻绥远。;;;;;;;;;;;;;x
Lsupport_CHC_title;两广事变-中共声援;;;;;;;;;;;;;x
Lsupport_CHC_desc;蒋介石不打外战打内战，倒行逆施，不得人心！;;;;;;;;;;;;;x
Lsupport_CDB_title;两广事变-陕甘声援;;;;;;;;;;;;;x
Lsupport_CDB_desc;蒋介石不打外战打内战，倒行逆施，不得人心！;;;;;;;;;;;;;x
Lsupport_CJC_title;两广事变-冀察声援;;;;;;;;;;;;;x
Lsupport_CJC_desc;蒋介石不打外战打内战，倒行逆施，不得人心！;;;;;;;;;;;;;x
Lsupport_CSD_title;两广事变-山东声援;;;;;;;;;;;;;x
Lsupport_CSD_desc;蒋介石不打外战打内战，倒行逆施，不得人心！;;;;;;;;;;;;;x
Korean_problem1_title;朝鲜半岛问题;;;;;;;;;;;;;x
Korean_problem1_desc;我们已经控制了朝鲜半岛，将决定他们的命运。;;;;;;;;;;;;;x
Korean_problem2_title;朝鲜半岛问题;;;;;;;;;;;;;x
Korean_problem2_desc;我们已经控制了朝鲜半岛，将决定他们的命运。;;;;;;;;;;;;;x
Xaction_CDB_title;扣押蒋介石;;;;;;;;;;;;;x
Xaction_CDB_desc;蒋介石一意孤行，预备用蒋鼎文、卫立煌换下张学良、杨虎城，继续打内战，为了民族的存亡，我们必须奋力一搏。;;;;;;;;;;;;;x
Xaction_CXB_title;建立西北国防政府;;;;;;;;;;;;;x
Xaction_CXB_desc;根据先前的计划，我们拟建立西北国防政府。;;;;;;;;;;;;;x
Xaction_CXB_other_title;共赴国难！;;;;;;;;;;;;;x
Xaction_CXB_other_desc;在抗日联军建立之后，我们表示愿意加入联军一同抗战。;;;;;;;;;;;;;x
Xjunction_CSD_title;联系韩复渠;;;;;;;;;;;;;x
Xjunction_CSD_desc;我们的控制区已经与山东连接，是时候让他们归附联军了。;;;;;;;;;;;;;x
Xjunction_CGX_title;联系李宗仁;;;;;;;;;;;;;x
Xjunction_CGX_desc;我们的控制区已经与广西连接，是时候让他们归附联军了。;;;;;;;;;;;;;x
Xintervene_JAP_title;向中国施加压力;;;;;;;;;;;;;x
Xintervene_JAP_desc;中国的张、杨、毛已经建立了反日政府，帝国绝不能容忍他们存在，我们将向中国政府发出密电。;;;;;;;;;;;;;x
Uaction_CHC_title;建立中华人民共和国;;;;;;;;;;;;;x
Uaction_CHC_desc;中国人民打败了侵略者、独裁者，如今是我们创造新未来的时刻。;;;;;;;;;;;;;x
Uaction_PRC_title;举行开国大典;;;;;;;;;;;;;x
Uaction_PRC_desc;举行开国大典，宣布建国。;;;;;;;;;;;;;x
Uaction_CHI_title;政令统一;;;;;;;;;;;;;x
Uaction_CHI_desc;我们已经控制了全中国。;;;;;;;;;;;;;x
Uaction_CXK_title;政令统一;;;;;;;;;;;;;x
Uaction_CXK_desc;我们已经控制了全中国。;;;;;;;;;;;;;x
Uaction_CSC_title;政令统一;;;;;;;;;;;;;x
Uaction_CSC_desc;我们已经控制了全中国。;;;;;;;;;;;;;x
Uaction_CSY_title;政令统一;;;;;;;;;;;;;x
