xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 地名;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
PROV5020;关东州;;;;;;;;;;X
PROV5017;归绥;;;;;;;;;;X
PROV5335;保安;;;;;;;;;;X
PROV8955;迪化;;;;;;;;;;X
PROV5084;阜平;;;;;;;;;;X
PROV5451;汉中;;;;;;;;;;X
PROV9325;天水;;;;;;;;;;X
PROV9295;陇南;;;;;;;;;;X
PROV7446;秋林;;;;;;;;;;X
PROV4896;罗津;;;;;;;;;;X
PROV7564;荔浦;;;;;;;;;;X
PROV7575;柳州;;;;;;;;;;X
PROV5206;榆次;;;;;;;;;;X
PROV9233;会宁;;;;;;;;;;X
PROV9234;渭北;;;;;;;;;;X
PROV9115;甘州;;;;;;;;;;X
PROV9141;肃州;;;;;;;;;;X
PROV7377;五原;;;;;;;;;;X
PROV4932;嘉卜寺;;;;;;;;;;X
PROV5691;抚州;;;;;;;;;;X
PROV5684;上饶;;;;;;;;;;X
PROV5617;罗田;;;;;;;;;;X
PROV7503;孝感;;;;;;;;;;X
PROV7498;襄阳;;;;;;;;;;X
PROV7535;遵义;;;;;;;;;;X
PROV4385;九台;;;;;;;;;;X
PROV5709;新市;;;;;;;;;;X
PROV7517;上高-高安;;;;;;;;;;X
PROV14169;修水-武宁;;;;;;;;;;X
PROV14170;临湘;;;;;;;;;;X
PROV14171;杨林;;;;;;;;;;X
PROV14172;新墙;;;;;;;;;;X
PROV14173;湘阴;;;;;;;;;;X
PROV14174;永安;;;;;;;;;;X
PROV14175;平江;;;;;;;;;;X
PROV14176;浏阳;;;;;;;;;;X
PROV14177;株洲;;;;;;;;;;X
PROV14178;娄底;;;;;;;;;;X
PROV14179;益阳;;;;;;;;;;X
PROV5401;许昌;;;;;;;;;;X
#######################################;;;;;;;;;;;;;;x
# 地区名;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
northeast_anti_japanese_united_army_base;东北抗联根据地;;;;;;;;;;;;;x
hainan_anti_japanese_base;琼崖抗日根据地;;;;;;;;;;;;;x
dongjiang_anti_japanese_base;东江抗日根据地;;;;;;;;;;;;;x
north_anhwei_anti_japanese_base;皖北抗日根据地;;;;;;;;;;;;;x
north_jiangsu_anti_japanese_base;苏北抗日根据地;;;;;;;;;;;;;x
central_jiangsu_anti_japanese_base;苏中抗日根据地;;;;;;;;;;;;;x
south_anhwei_anti_japanese_base;皖南抗日根据地;;;;;;;;;;;;;x
south_jiangsu_anti_japanese_base;苏南抗日根据地;;;;;;;;;;;;;x
huainan_anti_japanese_base;淮南抗日根据地;;;;;;;;;;;;;x
east_chekiang_anti_japanese_base;浙东抗日根据地;;;;;;;;;;;;;x
hubei_henan_anhwei_anti_japanese_base;鄂豫皖抗日根据地;;;;;;;;;;;;;x
shaanxi_gansu_ningsia_region;陕甘宁边区;;;;;;;;;;;;;x
shanxi_suiyuan_anti_japanese_base;晋绥抗日根据地;;;;;;;;;;;;;x
shanxi_chahar_hebei_anti_japanese_base;晋察冀抗日根据地;;;;;;;;;;;;;x
shanxi_hebei_shandong_henan_anti_japanese_base;晋冀鲁豫抗日根据地;;;;;;;;;;;;;x
shandong_anti_japanese_base;山东抗日根据地;;;;;;;;;;;;;x
wjw_region;汪伪政府宣称政区;;;;;;;;;;;;;x
manchu_china_region;满洲国;;;;;;;;;;;;;x
SF_china_region;中国;;;;;;;;;;;;;x
SF_Korean_region;朝鲜半岛;;;;;;;;;;;;;x
