xxxx;;;;;;;;;;;;;;x
europe;欧洲;;;;;;;;;;X
asia;亚洲;;;;;;;;;;X
africa;非洲;;;;;;;;;;X
north_america;北美;;;;;;;;;;X
south_america;南美;;;;;;;;;;X
oceania;大洋洲 ;;;;;;;;;;X
PROV1;1瓦朗厄尔半岛;;;;;;;;;;X
PROV2;2雷普沃格;;;;;;;;;;X
PROV3;3韦利讷;;;;;;;;;;X
PROV4;4诺尔辰角半岛 ;;;;;;;;;;X
PROV5;5嘉蒂;;;;;;;;;;X
PROV6;6伯塞尔夫 ;;;;;;;;;;X
PROV7;7斯托菲尤尔 ;;;;;;;;;;X
PROV8;8博茨菲尤尔 ;;;;;;;;;;X
PROV9;9特罗姆瑟;;;;;;;;;;X
PROV10;10特罗姆斯 ;;;;;;;;;;X
PROV11;11阿尔泰;;;;;;;;;;X
PROV12;12拉克塞尔夫;;;;;;;;;;X
PROV13;13拉斯特盖萨;;;;;;;;;;X
PROV14;14巴特恩;;;;;;;;;;X
PROV15;15克朗斯;;;;;;;;;;X
PROV16;16莫尔河出口;;;;;;;;;;X
PROV17;17特罗姆斯郡;;;;;;;;;;X
PROV18;18阿尔塔埃尔瓦;;;;;;;;;;X
PROV19;19卢莱萨米湖;;;;;;;;;;X
PROV20;20斯库甘瓦勒;;;;;;;;;;X
PROV21;21芬马克;;;;;;;;;;X
PROV22;22波尔马克 ;;;;;;;;;;X
PROV23;23希尔克内斯 ;;;;;;;;;;X
PROV24;24塞哈 ;;;;;;;;;;X
PROV25;25北肖斯博滕 ;;;;;;;;;;X
PROV26;26米耶龙;;;;;;;;;;X
PROV27;27马西;;;;;;;;;;X
PROV28;28泰诺河;;;;;;;;;;X
PROV29;29拉夫瓦加福利;;;;;;;;;;X
PROV30;30欧塔科斯基;;;;;;;;;;X
PROV31;31乌茨约基;;;;;;;;;;X
PROV32;32科拉半岛;;;;;;;;;;X
PROV33;33皮特沙摩;;;;;;;;;;X
PROV34;34北莫尔斯克;;;;;;;;;;X
PROV35;35捷里别尔卡;;;;;;;;;;X
PROV36;36特伦沃尔;;;;;;;;;;X
PROV37;37斯泰因奥尔森;;;;;;;;;;X
PROV38;38海利格斯库根;;;;;;;;;;X
PROV39;39罗希;;;;;;;;;;X
PROV40;40希尔皮湖 ;;;;;;;;;;X
PROV41;41卡拉绍克 ;;;;;;;;;;X
PROV42;42尤尔德 ;;;;;;;;;;X
PROV43;43帕尔塔科 ;;;;;;;;;;X
PROV44;44上弗吕肯 ;;;;;;;;;;X
PROV45;45季托夫卡河 ;;;;;;;;;;X
PROV46;46摩尔曼斯克 ;;;;;;;;;;X
PROV47;47凡尔纳-捷列茨科耶;;;;;;;;;;X
PROV48;48丹尼尔-泽勒尼;;;;;;;;;;X
PROV49;49欣岛;;;;;;;;;;X
PROV50;50库拉索岛;;;;;;;;;;X
PROV51;51凯瑟帕克特;;;;;;;;;;X
PROV52;52罗斯特拉塔;;;;;;;;;;X
PROV53;53卡雷苏安多;;;;;;;;;;X
PROV54;54埃农泰基厄;;;;;;;;;;X
PROV55;55科尔瓦山;;;;;;;;;;X
PROV56;56伊纳里;;;;;;;;;;X
PROV57;57塞韦蒂耶尔维;;;;;;;;;;X
PROV58;58瑙齐;;;;;;;;;;X
PROV59;59科拉;;;;;;;;;;X
PROV60;60松古伊;;;;;;;;;;X
PROV61;61佩尔希亚夫尔;;;;;;;;;;X
PROV62;62扎合力贝特诺伊;;;;;;;;;;X
PROV63;63哈洛克;;;;;;;;;;X
PROV64;64瓦尔济诺;;;;;;;;;;X
PROV65;65威尔纳克;;;;;;;;;;X
PROV66;66默恩达尔;;;;;;;;;;X
PROV67;67基律纳;;;;;;;;;;X
PROV68;68下索佩罗;;;;;;;;;;X
PROV69;69努瓦斯瓦雅拉;;;;;;;;;;X
PROV70;70利斯马;;;;;;;;;;X
PROV71;71科尔沙;;;;;;;;;;X
PROV72;72帕达斯约基;;;;;;;;;;X
PROV73;73乌卢斯;;;;;;;;;;X
PROV74;74塔夫拉 ;;;;;;;;;;X
PROV75;75奥列涅戈尔斯克 ;;;;;;;;;;X
PROV76;76洛沃泽罗 ;;;;;;;;;;X
PROV77;77特鲁法诺瓦;;;;;;;;;;X
PROV78;78约坎加;;;;;;;;;;X
PROV79;79内角卡宁诺斯 ;;;;;;;;;;X
PROV80;80博多;;;;;;;;;;X
PROV81;81博尔格内斯;;;;;;;;;;X
PROV82;82阿力泰维;;;;;;;;;;X
PROV83;83拉普人居住区 ;;;;;;;;;;X
PROV84;84维唐吉 ;;;;;;;;;;X
PROV85;85卢米瓦亚拉;;;;;;;;;;X
PROV86;86泰帕斯托 ;;;;;;;;;;X
PROV87;87普佳 ;;;;;;;;;;X
PROV88;88库图拉 ;;;;;;;;;;X
PROV89;89伊瓦洛 ;;;;;;;;;;X
PROV90;90琥珀 ;;;;;;;;;;X
PROV91;91拉普兰 ;;;;;;;;;;X
PROV92;92摩尔曼斯克 ;;;;;;;;;;X
PROV93;93列夫达 ;;;;;;;;;;X
PROV94;94波尔莫斯 ;;;;;;;;;;X
PROV95;95沃洛达尔斯基 ;;;;;;;;;;X
PROV96;96索杰纳 ;;;;;;;;;;X
PROV97;97卡缅卡 ;;;;;;;;;;X
PROV98;98福斯克 ;;;;;;;;;;X
PROV99;99里瑟姆 ;;;;;;;;;;X
PROV100;100叙奥尔瓦谷 ;;;;;;;;;;X
PROV101;101菲耶洛森 ;;;;;;;;;;X
PROV102;102帕拉卡 ;;;;;;;;;;X
PROV103;103穆奥尼奥 ;;;;;;;;;;X
PROV104;104基特尔 ;;;;;;;;;;X
PROV105;105杰西 ;;;;;;;;;;X
PROV106;106萨里山 ;;;;;;;;;;X
PROV107;107科尔瓦山 ;;;;;;;;;;X
PROV108;108拉普兰-扎波韦德地区;;;;;;;;;;X
PROV109;109蒙切戈尔斯克 ;;;;;;;;;;X
PROV110;110基洛夫 ;;;;;;;;;;X
PROV111;111莫特卡湾 ;;;;;;;;;;X
PROV112;112泽罗 ;;;;;;;;;;X
PROV113;113卡涅夫卡 ;;;;;;;;;;X
PROV114;114格列米哈 ;;;;;;;;;;X
PROV115;115伦博夫卡 ;;;;;;;;;;X
PROV116;116诺德兰摩尔福德 ;;;;;;;;;;X
PROV117;117叙利切尔马 ;;;;;;;;;;X
PROV118;118科瓦库约克 ;;;;;;;;;;X
PROV119;119夏克夏湖 ;;;;;;;;;;X
PROV120;120耶利瓦勒 ;;;;;;;;;;X
PROV121;121帕亚拉市 ;;;;;;;;;;X
PROV122;122科拉里 ;;;;;;;;;;X
PROV123;123乌纳里 ;;;;;;;;;;X
PROV124;124苏丹屈莱 ;;;;;;;;;;X
PROV125;125昙华 ;;;;;;;;;;X
PROV126;126曼塞尔克;;;;;;;;;;X
PROV127;127恩加夫卡;;;;;;;;;;X
PROV128;128阿帕季特;;;;;;;;;;X
PROV129;129别列佐夫卡 ;;;;;;;;;;X
PROV130;130因杰利;;;;;;;;;;X
PROV131;131科达;;;;;;;;;;X
PROV132;132西扎;;;;;;;;;;X
PROV133;133池塘;;;;;;;;;;X
